"","Ov_coeff","Ov_ic","Pred_sp","Prey_sp","Pred_family","Prey_family","Pred_genus","Prey_genus","mass_ratio","Pred_mass","Predmass_cat","P_hunt","Prey_mass","Preymass_cat","Pred_diet","Prey_diet","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area","Pred_evidence","Hunt_source"
"199",0.36,"0,20-0,42","Leopardus pardalis","Dasyprocta prymnolopha","Felidae","Dasyproctidae","Leopardus","Dasyprocta",1.28666452017105,10500,"Medium-Large","ambush",2900,"Small-Medium","Carnivore","Herbivore",-40.906602,-5.141386,5.141386,"South America","Brazil","Serra_das_Almas_Nature_Reserve","Dias_2018",26,30,NA,"0.75",61.26,"Yes","Hirt_2020"
"200",0.298,"0.178-0.329","Leopardus pardalis","Cebus capucinus","Felidae","Cebidae","Leopardus","Cebus",1.37493060246958,10500,"Medium-Large","ambush",2655,"Small-Medium","Carnivore","Omnivore",-85.66864,10.828699,10.828699,"Central/North America","Costa Rica","Santa Rosa National Park","Herrera_2018",NA,61,NA,"2.5",NA,"Yes","Hirt_2020"
"201",0.73,"0.66-0.8","Leopardus pardalis","Galea spixii","Felidae","Caviidae","Leopardus","Galea",3.3713334942024,10500,"Medium-Large","ambush",360.61,"Small","Carnivore","Herbivore",-36.183333,-5.783333,5.783333,"South America","Brazil","Caatinga_dry","Marinho_2020",5,37,3607,"0.9295",70,"Yes","Hirt_2020"
"202",0.73,"0.64-0.81","Leopardus pardalis","Thrichomys apereoides","Felidae","Echimyidae","Leopardus","Thrichomys",3.4062099234857,10500,"Medium-Large","ambush",348.25,"Small","Carnivore","Omnivore",-36.183333,-5.783333,5.783333,"South America","Brazil","Caatinga_dry","Marinho_2020",5,37,3607,"0.9295",70,"Yes","Hirt_2020"
"203",0.5,"0.38-0.61","Leopardus pardalis","Kerodon rupestris","Felidae","Caviidae","Leopardus","Kerodon",2.48433538441971,10500,"Medium-Large","ambush",875.5,"Small","Carnivore","Herbivore",-36.183333,-5.783333,5.783333,"South America","Brazil","Caatinga_dry","Marinho_2020",5,37,3607,"0.9295",70,"Yes","Hirt_2020"
"204",0.81,"0.73-0.88","Leopardus pardalis","Didelphis albiventris","Felidae","Didelphidae","Leopardus","Didelphis",2.32136024832038,10500,"Medium-Large","ambush",1030.47,"Small","Carnivore","Omnivore",-36.183333,-5.783333,5.783333,"South America","Brazil","Caatinga_dry","Marinho_2020",5,37,3607,"0.9295",70,"Yes","Hirt_2020"
"205",0.37,"0.31-0.44","Leopardus pardalis","Euphractus sexcinctus","Felidae","Chlamyphoridae","Leopardus","Euphractus",0.772396552214086,10500,"Medium-Large","ambush",4850,"Small-Medium","Carnivore","Omnivore",-36.183333,-5.783333,5.783333,"South America","Brazil","Caatinga_dry","Marinho_2020",5,37,3607,"0.9295",70,"Yes","Hirt_2020"
"206",0.57,NA,"Leopardus pardalis","Cuniculus paca","Felidae","Cuniculidae","Leopardus","Cuniculus",0.154150679827258,10500,"Medium-Large","ambush",9000,"Medium-Large","Carnivore","Herbivore",-79.255369,9.374572,9.374572,"Central/North America","Panama","MS1","Moreno-Sosa_2022",5,35,2539,"2",200,"Yes","Hirt_2020"
"207",0.39,NA,"Leopardus pardalis","Dasyprocta punctata","Felidae","Dasyproctidae","Leopardus","Dasyprocta",1.54957100057655,10500,"Medium-Large","ambush",2229.56,"Small-Medium","Carnivore","Herbivore",-79.255369,9.374572,9.374572,"Central/North America","Panama","MS1","Moreno-Sosa_2022",5,35,2539,"2",200,"Yes","Hirt_2020"
"208",0.69,NA,"Leopardus pardalis","Dasypus novemcinctus","Felidae","Dasypodidae","Leopardus","Dasypus",0.977910342575517,10500,"Medium-Large","ambush",3949.01,"Small-Medium","Carnivore","Insectivore",-79.255369,9.374572,9.374572,"Central/North America","Panama","MS1","Moreno-Sosa_2022",5,35,2539,"2",200,"Yes","Hirt_2020"
"209",0.78,NA,"Leopardus pardalis","Didelphis marsupialis","Felidae","Didelphidae","Leopardus","Didelphis",2.21172201634829,10500,"Medium-Large","ambush",1149.875,"Small","Carnivore","Omnivore",-79.255369,9.374572,9.374572,"Central/North America","Panama","MS1","Moreno-Sosa_2022",5,35,2539,"2",200,"Yes","Hirt_2020"
