;SIF;SIF_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
130;0.01;0.00-0.06;Lynx pardinus;Martes foina;Felidae;Mustelidae;Lynx;Martes;0.17939505;1.794207451;10225;1700;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
131;1.46;1.17-1.83;Meles meles;Martes foina;Mustelidae;Mustelidae;Meles;Martes;0.13258649;1.944567231;11884.03;1700;Omnivore;Omnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
132;1.22;1.12-1.35;Vulpes vulpes;Martes foina;Canidae;Mustelidae;Vulpes;Martes;0.18685684;1.494924526;7580.3;1700;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
133;0.89;0.53-1.32;Felis silvestris;Martes martes;Felidae;Mustelidae;Felis;Martes;0.17898731;1.35435892;5036.54;1299.995;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
134;0.76;0.38-1.24;Genetta genetta;Martes martes;Viverridae;Mustelidae;Genetta;Martes;0.18592031;0.361795676;1866.67;1299.995;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
135;0.4;0.16-0.71;Martes foina;Martes martes;Mustelidae;Mustelidae;Martes;Martes;0.06703719;0.268267833;1700;1299.995;Omnivore;Omnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
136;0.61;0.21-1.08;Meles meles;Martes martes;Mustelidae;Mustelidae;Meles;Martes;0.1341349;2.212835064;11884.03;1299.995;Omnivore;Omnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
137;0.74;0.52-0.94;Vulpes vulpes;Martes martes;Canidae;Mustelidae;Vulpes;Martes;0.18591115;1.763192358;7580.3;1299.995;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
138;0.28;0.05-0.59;Lynx pardinus;Vulpes vulpes;Felidae;Canidae;Lynx;Vulpes;0.18099855;0.299282925;10225;7580.3;Carnivore;Carnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
139;1.23;1.03-1.44;Meles meles;Vulpes vulpes;Mustelidae;Canidae;Meles;Vulpes;0.1882578;0.449642705;11884.03;7580.3;Omnivore;Carnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
140;1;NA;Caracal caracal;Leptailurus serval;Felidae;Felidae;Caracal;Leptailurus;0.08564503;0.154154013;14000;11999.96;Carnivore;Carnivore;Same_diet;34.952966;-2.509499;2.509499;Africa;Tanzania;Annual;Mwampeta_2020;27;217;91868;5;1085
141;1;NA;Leopardus pardalis;Leopardus guttulus;Felidae;Felidae;Leopardus;Leopardus;NA;1.540445041;10500;2250;Carnivore;Carnivore;Same_diet;-46.966144;-23.282992;23.282992;South America;Brazil;NR1;Nagy-Reis_2017;18;45;5198;1.5;350
142;1.03;NA;Leopardus wiedii;Leopardus guttulus;Felidae;Felidae;Leopardus;Leopardus;NA;0.470003629;3600;2250;Carnivore;Carnivore;Same_diet;-46.966144;-23.282992;23.282992;South America;Brazil;NR1;Nagy-Reis_2017;18;45;5198;1.5;350
143;1;NA;Leopardus pardalis;Leopardus wiedii;Felidae;Felidae;Leopardus;Leopardus;0.03679391;1.070441412;10500;3600;Carnivore;Carnivore;Same_diet;-46.966144;-23.282992;23.282992;South America;Brazil;NR1;Nagy-Reis_2017;18;45;5198;1.5;350
144;1.01;NA;Ursus thibetanus;Helarctos malayanus;Ursidae;Ursidae;Ursus;Helarctos;0.07503514;0.773666597;99714.19;46000;Omnivore;Omnivore;Same_diet;101.436411;14.377807;14.377807;Asia;Thailand;Khao Yai National Park;Ngoprasert_2022;12;78;5052;1.5;208
